user_id,referral_id,country
4409694,3812535,RUS
4409594,3812535,BLR
4409644,3812535,RUS
4408363,1050265,SEN
4409564,3812535,RUS
4409545,3812535,RUS
4409526,3812535,RUS
4409531,3812535,RUS
4409470,3812535,RUS
4409456,3812535,RUS
4409484,3812535,RUS
4409473,4336621,LKA
4409442,3812535,RUS
4409424,3812535,RUS
4409391,3812535,RUS
4409384,3812535,RUS
4409338,4400924,UZB
4409404,4185809,TUR
4409388,4357586,TUR
4409383,1801264,KEN
4409292,3812535,RUS
4409370,2190710,BGD
4409258,3812535,RUS
4409347,4376585,THA
4409358,4376585,THA
4409309,4376585,THA
4409329,4376585,THA
4401816,1070090,LKA
4409281,4376585,THA
4409236,4339980,TUR
4409234,4376585,THA
4409211,3812535,RUS
4409213,4376585,THA
4409188,4376585,THA
4409187,3812535,RUS
4406877,4393712,BLR
4409157,3812535,RUS
4409154,4376585,THA
4406485,4127125,IDN
4409140,4376585,THA
4409116,4388371,LKA
4409022,4376585,THA
4409056,4388371,LKA
4409071,3812535,RUS
4409075,4376585,THA
4391879,4388371,LKA
4409041,3812535,RUS
4408963,3812535,RUS
4408925,3812535,RUS
4408878,3812535,RUS
4408904,3812535,RUS
4408822,4388371,LKA
4408704,3812535,RUS
4408816,3812535,RUS
4408797,4376585,THA
4408807,4376585,THA
4408785,4376585,THA
4408771,4376585,THA
4408761,1196394,RUS
4408706,4376585,THA
4408682,4376585,THA
4408681,4388371,LKA
4408619,4349604,BGD
4408372,4376585,THA
4396624,1146971,DZA
4408538,4376585,THA
4408503,4376585,THA
4408505,4376585,AUS
4408466,4376585,THA
4408373,4388371,LKA
4385653,2463666,BGD
4388061,4357803,LKA
4387996,4360595,BGD
4387684,2345221,VNM
4387917,4377509,IND
4387903,2887910,TUR
4387849,4350633,IND
4408304,4376585,THA
4406252,4376585,USA
4408268,4376585,THA
4408223,4376585,THA
4408196,4376585,THA
4408115,4376585,THA
4408131,4376585,THA
4407887,1077684,MMR
4400283,4211199,USA
4401109,4390800,BGD
4388119,4071949,HUN
4396172,4394466,TUR
4407592,4407559,BGD
4407569,4407559,BGD
4407474,4376585,USA
4407468,4376585,USA
4407462,4376585,USA
4407448,4376585,USA
4407451,4376585,USA
4407437,4376585,USA
4407410,4376585,USA
4407416,4376585,USA
4407404,4376585,USA
4407399,4287361,CHL
4407397,4376585,USA
4407391,4376585,USA
4407385,4376585,USA
4407330,4376585,USA
4407293,4376585,USA
4407273,4376585,USA
4407224,4376585,THA
4407252,4376585,USA
4407259,4376585,THA
4407222,4376585,USA
4407230,4376585,USA
4407205,4376585,THA
4407197,4376585,THA
4407184,3812535,RUS
4407185,4376585,THA
4407152,4376585,THA
4407128,2294270,TUR
4406175,4376585,THA
4407007,4376585,NLD
4406896,4404042,TUR
4406923,4388371,LKA
4402415,4267703,NGA
